command,intent,target_type,attribute,spatial_relation,spatial_reference,position
trash pink button next to the address,delete,button,pink,next_to,address,NONE
long-press white icon below the address,long-press,icon,white,below,address,NONE
long-press the last icon,long-press,icon,NONE,NONE,NONE,last
open tab above the login,open,tab,NONE,above,login,NONE
scroll down to black text,scroll,text,black,NONE,NONE,NONE
click on blue link next to the search,click,link,blue,next_to,search,NONE
delete text next to the last item,delete,text,NONE,next_to,last item,NONE
paste text to the left of the payment,paste,text,NONE,left_of,payment,NONE
open link,open,link,NONE,NONE,NONE,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
launch icon above the help,open,icon,NONE,above,help,NONE
tap the 1st button,tap,button,NONE,NONE,NONE,1st
open blue icon next to the last item,open,icon,blue,next_to,last item,NONE
long-press the 1st yellow icon,long-press,icon,yellow,NONE,NONE,1st
paste purple text to the left of the search,paste,text,purple,left_of,search,NONE
paste the 1st text,paste,text,NONE,NONE,NONE,1st
tap on link to the left of the help,tap,link,NONE,left_of,help,NONE
paste gray text above the login,paste,text,gray,above,login,NONE
launch button above the search,open,button,NONE,above,search,NONE
scroll down to tab above the checkout,scroll,tab,NONE,above,checkout,NONE
paste the last pink text to the left of the notifications,paste,text,pink,left_of,notifications,last
paste the last gray text to the left of the checkout,paste,text,gray,left_of,checkout,last
paste the 1st text to the left of the address,paste,text,NONE,left_of,address,1st
press and hold text below the help,long-press,text,NONE,below,help,NONE
tap on checkbox above the cart,tap,checkbox,NONE,above,cart,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
copy text to the right of the checkout,copy,text,NONE,right_of,checkout,NONE
copy the last text to the left of the help,copy,text,NONE,left_of,help,last
paste the 1st text next to the last item,paste,text,NONE,next_to,last item,1st
launch the 3rd yellow menu below the home,open,menu,yellow,below,home,3rd
long-press pink icon next to the login,long-press,icon,pink,next_to,login,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
paste green text next to the first email,paste,text,green,next_to,first email,NONE
remove yellow button next to the search,delete,button,yellow,next_to,search,NONE
click on the 3rd button above the notifications,click,button,NONE,above,notifications,3rd
copy gray text above the wi-fi,copy,text,gray,above,wi-fi,NONE
long-press yellow icon to the left of the checkout,long-press,icon,yellow,left_of,checkout,NONE
press switch below the notifications,click,switch,NONE,below,notifications,NONE
delete button to the right of the help,delete,button,NONE,right_of,help,NONE
remove the 3rd image to the left of the menu,delete,image,NONE,left_of,menu,3rd
open black menu below the first email,open,menu,black,below,first email,NONE
click red checkbox,click,checkbox,red,NONE,NONE,NONE
launch tab below the login,open,tab,NONE,below,login,NONE
open tab to the left of the help,open,tab,NONE,left_of,help,NONE
tap button below the wi-fi,tap,button,NONE,below,wi-fi,NONE
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
copy text to the right of the notifications,copy,text,NONE,right_of,notifications,NONE
delete yellow button to the right of the first email,delete,button,yellow,right_of,first email,NONE
click white icon to the left of the profile,click,icon,white,left_of,profile,NONE
click image next to the checkout,click,image,NONE,next_to,checkout,NONE
trash the 3rd pink image above the profile,delete,image,pink,above,profile,3rd
paste the last text,paste,text,NONE,NONE,NONE,last
tap yellow link below the payment,tap,link,yellow,below,payment,NONE
tap on tab above the wi-fi,tap,tab,NONE,above,wi-fi,NONE
long-press the 2nd button above the help,long-press,button,NONE,above,help,2nd
launch tab,open,tab,NONE,NONE,NONE,NONE
copy text to the left of the search,copy,text,NONE,left_of,search,NONE
open button to the right of the search,open,button,NONE,right_of,search,NONE
paste text to the right of the first email,paste,text,NONE,right_of,first email,NONE
press and hold the last button,long-press,button,NONE,NONE,NONE,last
press icon next to the checkout,click,icon,NONE,next_to,checkout,NONE
scroll down to blue text below the help,scroll,text,blue,below,help,NONE
open the last icon below the notifications,open,icon,NONE,below,notifications,last
scroll to yellow menu to the left of the help,scroll,menu,yellow,left_of,help,NONE
copy text to the left of the home,copy,text,NONE,left_of,home,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
press the last yellow switch,click,switch,yellow,NONE,NONE,last
paste text next to the login,paste,text,NONE,next_to,login,NONE
long-press image,long-press,image,NONE,NONE,NONE,NONE
tap switch to the right of the help,tap,switch,NONE,right_of,help,NONE
paste text below the profile,paste,text,NONE,below,profile,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
tap switch next to the notifications,tap,switch,NONE,next_to,notifications,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
open orange button next to the address,open,button,orange,next_to,address,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
launch the 3rd gray button,open,button,gray,NONE,NONE,3rd
long-press button,long-press,button,NONE,NONE,NONE,NONE
paste the last text next to the address,paste,text,NONE,next_to,address,last
scroll down to tab below the home,scroll,tab,NONE,below,home,NONE
open link to the left of the last item,open,link,NONE,left_of,last item,NONE
launch red button to the right of the wi-fi,open,button,red,right_of,wi-fi,NONE
trash image below the help,delete,image,NONE,below,help,NONE
delete the last button above the settings,delete,button,NONE,above,settings,last
paste text above the profile,paste,text,NONE,above,profile,NONE
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
tap on the 2nd switch to the right of the cart,tap,switch,NONE,right_of,cart,2nd
press and hold the 3rd white image to the left of the notifications,long-press,image,white,left_of,notifications,3rd
open the last link to the right of the address,open,link,NONE,right_of,address,last
paste the 3rd text next to the help,paste,text,NONE,next_to,help,3rd
press black image next to the payment,click,image,black,next_to,payment,NONE
tap icon below the wi-fi,tap,icon,NONE,below,wi-fi,NONE
long-press gray text,long-press,text,gray,NONE,NONE,NONE
delete the 2nd text below the cart,delete,text,NONE,below,cart,2nd
scroll to the 1st text,scroll,text,NONE,NONE,NONE,1st
press and hold gray button,long-press,button,gray,NONE,NONE,NONE
tap black tab to the left of the profile,tap,tab,black,left_of,profile,NONE
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd
copy the last black text,copy,text,black,NONE,NONE,last
paste red text to the left of the menu,paste,text,red,left_of,menu,NONE
click red text,click,text,red,NONE,NONE,NONE
copy text next to the payment,copy,text,NONE,next_to,payment,NONE
copy text below the last item,copy,text,NONE,below,last item,NONE
scroll to text to the right of the address,scroll,text,NONE,right_of,address,NONE
launch green button to the right of the settings,open,button,green,right_of,settings,NONE
tap on switch,tap,switch,NONE,NONE,NONE,NONE
scroll down to the last yellow tab next to the last item,scroll,tab,yellow,next_to,last item,last
long-press the 3rd orange image below the first email,long-press,image,orange,below,first email,3rd
remove button above the settings,delete,button,NONE,above,settings,NONE
scroll to menu above the search,scroll,menu,NONE,above,search,NONE
scroll down to gray tab to the right of the first email,scroll,tab,gray,right_of,first email,NONE
trash gray button above the search,delete,button,gray,above,search,NONE
trash the 1st green button,delete,button,green,NONE,NONE,1st
scroll to text,scroll,text,NONE,NONE,NONE,NONE
paste the 1st text,paste,text,NONE,NONE,NONE,1st
tap on yellow link below the address,tap,link,yellow,below,address,NONE
tap on checkbox below the profile,tap,checkbox,NONE,below,profile,NONE
trash text to the right of the notifications,delete,text,NONE,right_of,notifications,NONE
open pink icon,open,icon,pink,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
tap on checkbox,tap,checkbox,NONE,NONE,NONE,NONE
launch menu below the notifications,open,menu,NONE,below,notifications,NONE
paste the last pink text next to the address,paste,text,pink,next_to,address,last
scroll down to the last menu next to the last item,scroll,menu,NONE,next_to,last item,last
tap on gray checkbox,tap,checkbox,gray,NONE,NONE,NONE
remove text to the right of the cart,delete,text,NONE,right_of,cart,NONE
scroll to the 3rd text next to the help,scroll,text,NONE,next_to,help,3rd
paste pink text above the address,paste,text,pink,above,address,NONE
remove text below the cart,delete,text,NONE,below,cart,NONE
tap checkbox below the login,tap,checkbox,NONE,below,login,NONE
scroll to red menu to the right of the settings,scroll,menu,red,right_of,settings,NONE
press and hold image,long-press,image,NONE,NONE,NONE,NONE
tap red link to the left of the checkout,tap,link,red,left_of,checkout,NONE
copy red text to the left of the settings,copy,text,red,left_of,settings,NONE
launch the 2nd orange icon,open,icon,orange,NONE,NONE,2nd
click gray image above the notifications,click,image,gray,above,notifications,NONE
tap on pink link,tap,link,pink,NONE,NONE,NONE
open the last tab to the left of the notifications,open,tab,NONE,left_of,notifications,last
press link next to the first email,click,link,NONE,next_to,first email,NONE
open blue button above the home,open,button,blue,above,home,NONE
copy text to the left of the menu,copy,text,NONE,left_of,menu,NONE
trash the last yellow text,delete,text,yellow,NONE,NONE,last
copy green text below the search,copy,text,green,below,search,NONE
remove black text next to the checkout,delete,text,black,next_to,checkout,NONE
press link to the right of the address,click,link,NONE,right_of,address,NONE
select switch to the right of the search,click,switch,NONE,right_of,search,NONE
tap the 3rd tab,tap,tab,NONE,NONE,NONE,3rd
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
launch the 2nd button to the left of the settings,open,button,NONE,left_of,settings,2nd
copy text next to the cart,copy,text,NONE,next_to,cart,NONE
launch the 3rd tab to the right of the home,open,tab,NONE,right_of,home,3rd
click green tab below the settings,click,tab,green,below,settings,NONE
copy text above the home,copy,text,NONE,above,home,NONE
click on checkbox next to the address,click,checkbox,NONE,next_to,address,NONE
trash image,delete,image,NONE,NONE,NONE,NONE
open the 3rd link next to the notifications,open,link,NONE,next_to,notifications,3rd
press and hold button above the first email,long-press,button,NONE,above,first email,NONE
open the 3rd link,open,link,NONE,NONE,NONE,3rd
copy the 2nd orange text above the first email,copy,text,orange,above,first email,2nd
select text to the right of the checkout,click,text,NONE,right_of,checkout,NONE
long-press image to the left of the notifications,long-press,image,NONE,left_of,notifications,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
press and hold yellow image next to the checkout,long-press,image,yellow,next_to,checkout,NONE
launch the 2nd button to the left of the address,open,button,NONE,left_of,address,2nd
copy purple text,copy,text,purple,NONE,NONE,NONE
copy text to the left of the wi-fi,copy,text,NONE,left_of,wi-fi,NONE
paste pink text,paste,text,pink,NONE,NONE,NONE
press the 3rd link to the right of the menu,click,link,NONE,right_of,menu,3rd
remove the 1st button next to the checkout,delete,button,NONE,next_to,checkout,1st
long-press button next to the help,long-press,button,NONE,next_to,help,NONE
copy orange text above the payment,copy,text,orange,above,payment,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
press and hold image next to the help,long-press,image,NONE,next_to,help,NONE
open black link above the notifications,open,link,black,above,notifications,NONE
press and hold the 2nd icon to the left of the profile,long-press,icon,NONE,left_of,profile,2nd
trash text below the home,delete,text,NONE,below,home,NONE
trash image below the profile,delete,image,NONE,below,profile,NONE
copy text below the cart,copy,text,NONE,below,cart,NONE
press the 1st black link,click,link,black,NONE,NONE,1st
trash text to the left of the checkout,delete,text,NONE,left_of,checkout,NONE
paste the 2nd text to the right of the profile,paste,text,NONE,right_of,profile,2nd
click gray image above the help,click,image,gray,above,help,NONE
paste red text next to the home,paste,text,red,next_to,home,NONE
copy text to the left of the payment,copy,text,NONE,left_of,payment,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
open menu next to the cart,open,menu,NONE,next_to,cart,NONE
open icon,open,icon,NONE,NONE,NONE,NONE
delete the 2nd gray text below the cart,delete,text,gray,below,cart,2nd
paste text above the notifications,paste,text,NONE,above,notifications,NONE
select the last blue image,click,image,blue,NONE,NONE,last
copy text above the checkout,copy,text,NONE,above,checkout,NONE
launch the 2nd button,open,button,NONE,NONE,NONE,2nd
trash purple image below the settings,delete,image,purple,below,settings,NONE
scroll to black text,scroll,text,black,NONE,NONE,NONE
press and hold button to the left of the search,long-press,button,NONE,left_of,search,NONE
scroll down to the 2nd green tab,scroll,tab,green,NONE,NONE,2nd
click on button to the left of the menu,click,button,NONE,left_of,menu,NONE
paste text next to the search,paste,text,NONE,next_to,search,NONE
tap white button,tap,button,white,NONE,NONE,NONE
scroll down to the last menu,scroll,menu,NONE,NONE,NONE,last
tap button to the right of the checkout,tap,button,NONE,right_of,checkout,NONE
launch red link below the notifications,open,link,red,below,notifications,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
press and hold red icon to the left of the last item,long-press,icon,red,left_of,last item,NONE
long-press the 3rd gray icon above the first email,long-press,icon,gray,above,first email,3rd
click on the 3rd blue button above the help,click,button,blue,above,help,3rd
press icon to the left of the help,click,icon,NONE,left_of,help,NONE
paste text to the left of the settings,paste,text,NONE,left_of,settings,NONE
copy orange text below the settings,copy,text,orange,below,settings,NONE
delete button to the right of the login,delete,button,NONE,right_of,login,NONE
paste gray text below the help,paste,text,gray,below,help,NONE
delete gray text above the address,delete,text,gray,above,address,NONE
click the 1st image to the left of the wi-fi,click,image,NONE,left_of,wi-fi,1st
select checkbox,click,checkbox,NONE,NONE,NONE,NONE
tap switch,tap,switch,NONE,NONE,NONE,NONE
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE
press blue image,click,image,blue,NONE,NONE,NONE
copy text below the address,copy,text,NONE,below,address,NONE
launch purple icon,open,icon,purple,NONE,NONE,NONE
paste text to the left of the notifications,paste,text,NONE,left_of,notifications,NONE
paste red text below the login,paste,text,red,below,login,NONE
paste text to the right of the address,paste,text,NONE,right_of,address,NONE
copy the 2nd purple text,copy,text,purple,NONE,NONE,2nd
paste text above the login,paste,text,NONE,above,login,NONE
copy text above the payment,copy,text,NONE,above,payment,NONE
long-press red button to the left of the checkout,long-press,button,red,left_of,checkout,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
scroll down to the 1st text to the left of the first email,scroll,text,NONE,left_of,first email,1st
press and hold the 2nd pink icon to the left of the login,long-press,icon,pink,left_of,login,2nd
launch link,open,link,NONE,NONE,NONE,NONE
copy text below the checkout,copy,text,NONE,below,checkout,NONE
remove the last image next to the last item,delete,image,NONE,next_to,last item,last
tap on switch above the help,tap,switch,NONE,above,help,NONE
click on tab above the last item,click,tab,NONE,above,last item,NONE
long-press purple button to the right of the help,long-press,button,purple,right_of,help,NONE
press and hold yellow button below the wi-fi,long-press,button,yellow,below,wi-fi,NONE
long-press the 3rd button next to the cart,long-press,button,NONE,next_to,cart,3rd
scroll down to tab next to the settings,scroll,tab,NONE,next_to,settings,NONE
click on checkbox,click,checkbox,NONE,NONE,NONE,NONE
tap on green switch above the checkout,tap,switch,green,above,checkout,NONE
tap on switch,tap,switch,NONE,NONE,NONE,NONE
tap icon,tap,icon,NONE,NONE,NONE,NONE
long-press green icon above the settings,long-press,icon,green,above,settings,NONE
scroll to text next to the menu,scroll,text,NONE,next_to,menu,NONE
paste the last text,paste,text,NONE,NONE,NONE,last
delete purple button,delete,button,purple,NONE,NONE,NONE
long-press the 3rd image below the payment,long-press,image,NONE,below,payment,3rd
tap on the 1st button above the first email,tap,button,NONE,above,first email,1st
paste the 2nd pink text,paste,text,pink,NONE,NONE,2nd
click switch,click,switch,NONE,NONE,NONE,NONE
scroll to the last pink menu below the cart,scroll,menu,pink,below,cart,last
click on green tab,click,tab,green,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
launch tab to the left of the notifications,open,tab,NONE,left_of,notifications,NONE
launch the last gray menu to the right of the menu,open,menu,gray,right_of,menu,last
press and hold icon below the cart,long-press,icon,NONE,below,cart,NONE
launch link to the right of the help,open,link,NONE,right_of,help,NONE
press and hold button,long-press,button,NONE,NONE,NONE,NONE
paste text to the left of the settings,paste,text,NONE,left_of,settings,NONE
trash yellow text,delete,text,yellow,NONE,NONE,NONE
press and hold the 2nd text above the first email,long-press,text,NONE,above,first email,2nd
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
paste the last text to the right of the wi-fi,paste,text,NONE,right_of,wi-fi,last
click on image next to the profile,click,image,NONE,next_to,profile,NONE
paste red text,paste,text,red,NONE,NONE,NONE
click on link below the settings,click,link,NONE,below,settings,NONE
tap on the 1st link next to the checkout,tap,link,NONE,next_to,checkout,1st
press link,click,link,NONE,NONE,NONE,NONE
trash the last gray text above the login,delete,text,gray,above,login,last
press and hold the 3rd white text next to the settings,long-press,text,white,next_to,settings,3rd
long-press image above the settings,long-press,image,NONE,above,settings,NONE
paste yellow text to the left of the payment,paste,text,yellow,left_of,payment,NONE
tap on green link next to the notifications,tap,link,green,next_to,notifications,NONE
long-press blue button,long-press,button,blue,NONE,NONE,NONE
long-press the last icon below the notifications,long-press,icon,NONE,below,notifications,last
delete button to the right of the notifications,delete,button,NONE,right_of,notifications,NONE
tap on checkbox,tap,checkbox,NONE,NONE,NONE,NONE
tap the last green button to the left of the checkout,tap,button,green,left_of,checkout,last
scroll down to gray tab to the left of the help,scroll,tab,gray,left_of,help,NONE
long-press the 3rd icon above the address,long-press,icon,NONE,above,address,3rd
tap on black button next to the last item,tap,button,black,next_to,last item,NONE
copy text above the payment,copy,text,NONE,above,payment,NONE
paste text next to the checkout,paste,text,NONE,next_to,checkout,NONE
long-press black text,long-press,text,black,NONE,NONE,NONE
tap on tab to the right of the address,tap,tab,NONE,right_of,address,NONE
long-press gray icon above the menu,long-press,icon,gray,above,menu,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste yellow text,paste,text,yellow,NONE,NONE,NONE
press the 2nd red button next to the cart,click,button,red,next_to,cart,2nd
select text,click,text,NONE,NONE,NONE,NONE
paste text next to the payment,paste,text,NONE,next_to,payment,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
long-press pink icon to the left of the first email,long-press,icon,pink,left_of,first email,NONE
trash image,delete,image,NONE,NONE,NONE,NONE
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
tap tab next to the menu,tap,tab,NONE,next_to,menu,NONE
press and hold button to the left of the checkout,long-press,button,NONE,left_of,checkout,NONE
remove text below the checkout,delete,text,NONE,below,checkout,NONE
paste orange text next to the notifications,paste,text,orange,next_to,notifications,NONE
paste the 1st purple text,paste,text,purple,NONE,NONE,1st
launch link next to the first email,open,link,NONE,next_to,first email,NONE
copy text to the left of the search,copy,text,NONE,left_of,search,NONE
select white link,click,link,white,NONE,NONE,NONE
scroll to the 1st menu,scroll,menu,NONE,NONE,NONE,1st
long-press the last icon above the search,long-press,icon,NONE,above,search,last
tap on the last purple tab,tap,tab,purple,NONE,NONE,last
scroll down to the 1st tab,scroll,tab,NONE,NONE,NONE,1st
remove the 1st black text below the first email,delete,text,black,below,first email,1st
long-press black image to the right of the cart,long-press,image,black,right_of,cart,NONE
open button next to the login,open,button,NONE,next_to,login,NONE
open menu below the notifications,open,menu,NONE,below,notifications,NONE
trash the 1st image,delete,image,NONE,NONE,NONE,1st
press and hold text to the right of the settings,long-press,text,NONE,right_of,settings,NONE
scroll to red tab next to the menu,scroll,tab,red,next_to,menu,NONE
copy the last text to the right of the address,copy,text,NONE,right_of,address,last
tap on tab below the payment,tap,tab,NONE,below,payment,NONE
scroll to text above the checkout,scroll,text,NONE,above,checkout,NONE
tap pink link next to the cart,tap,link,pink,next_to,cart,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
tap on switch below the search,tap,switch,NONE,below,search,NONE
tap red icon,tap,icon,red,NONE,NONE,NONE
press the last orange tab to the left of the login,click,tab,orange,left_of,login,last
open the last tab above the payment,open,tab,NONE,above,payment,last
open the 2nd gray icon,open,icon,gray,NONE,NONE,2nd
long-press green icon next to the checkout,long-press,icon,green,next_to,checkout,NONE
remove button to the left of the first email,delete,button,NONE,left_of,first email,NONE
launch tab to the left of the menu,open,tab,NONE,left_of,menu,NONE
trash the last gray text,delete,text,gray,NONE,NONE,last
launch white button below the menu,open,button,white,below,menu,NONE
launch tab,open,tab,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste the 3rd yellow text,paste,text,yellow,NONE,NONE,3rd
scroll to the 1st red text above the checkout,scroll,text,red,above,checkout,1st
click button to the left of the wi-fi,click,button,NONE,left_of,wi-fi,NONE
long-press black button,long-press,button,black,NONE,NONE,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
scroll down to the last green tab,scroll,tab,green,NONE,NONE,last
copy the 1st gray text to the left of the search,copy,text,gray,left_of,search,1st
trash button above the checkout,delete,button,NONE,above,checkout,NONE
scroll down to yellow menu to the right of the address,scroll,menu,yellow,right_of,address,NONE
press and hold text next to the settings,long-press,text,NONE,next_to,settings,NONE
copy gray text,copy,text,gray,NONE,NONE,NONE
