command,intent,target_type,attribute,spatial_relation,spatial_reference,position,intent_id,target_type_id,attribute_id,spatial_relation_id,position_id
copy text to the right of the notifications,copy,text,NONE,right_of,notifications,NONE,2,9,0,5,3
click on button next to the cart,click,button,NONE,next_to,cart,NONE,1,1,0,4,3
copy text next to the first email,copy,text,NONE,next_to,first email,NONE,2,9,0,4,3
launch red menu,open,menu,red,NONE,NONE,NONE,5,6,8,0,3
click image,click,image,NONE,NONE,NONE,NONE,1,4,0,0,3
paste text above the notifications,paste,text,NONE,above,notifications,NONE,6,9,0,1,3
tap button,tap,button,NONE,NONE,NONE,NONE,8,1,0,0,3
remove green image next to the address,delete,image,green,next_to,address,NONE,3,4,4,4,3
click the last switch next to the wi-fi,click,switch,NONE,next_to,wi-fi,last,1,7,0,4,4
scroll to blue tab,scroll,tab,blue,NONE,NONE,NONE,7,8,2,0,3
remove gray text above the first email,delete,text,gray,above,first email,NONE,3,9,3,1,3
launch button to the right of the checkout,open,button,NONE,right_of,checkout,NONE,5,1,0,5,3
scroll to the 3rd menu next to the search,scroll,menu,NONE,next_to,search,3rd,7,6,0,4,2
click on link,click,link,NONE,NONE,NONE,NONE,1,5,0,0,3
tap on the 3rd yellow checkbox,tap,checkbox,yellow,NONE,NONE,3rd,8,2,10,0,2
open link to the left of the cart,open,link,NONE,left_of,cart,NONE,5,5,0,3,3
copy the 1st green text,copy,text,green,NONE,NONE,1st,2,9,4,0,0
long-press the 1st image to the left of the search,long-press,image,NONE,left_of,search,1st,4,4,0,3,0
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
tap on tab above the profile,tap,tab,NONE,above,profile,NONE,8,8,0,1,3
click on the 3rd link above the help,click,link,NONE,above,help,3rd,1,5,0,1,2
copy the 3rd black text next to the search,copy,text,black,next_to,search,3rd,2,9,1,4,2
scroll down to the 2nd text below the wi-fi,scroll,text,NONE,below,wi-fi,2nd,7,9,0,2,1
select switch below the first email,click,switch,NONE,below,first email,NONE,1,7,0,2,3
long-press orange image,long-press,image,orange,NONE,NONE,NONE,4,4,5,0,3
paste text to the left of the home,paste,text,NONE,left_of,home,NONE,6,9,0,3,3
click the 1st link to the left of the address,click,link,NONE,left_of,address,1st,1,5,0,3,0
launch the last menu below the checkout,open,menu,NONE,below,checkout,last,5,6,0,2,4
scroll to text below the first email,scroll,text,NONE,below,first email,NONE,7,9,0,2,3
press the 3rd yellow text to the right of the login,click,text,yellow,right_of,login,3rd,1,9,10,5,2
open pink tab below the login,open,tab,pink,below,login,NONE,5,8,6,2,3
copy the 1st pink text,copy,text,pink,NONE,NONE,1st,2,9,6,0,0
click red button below the login,click,button,red,below,login,NONE,1,1,8,2,3
delete the 1st green button next to the login,delete,button,green,next_to,login,1st,3,1,4,4,0
select black switch to the left of the wi-fi,click,switch,black,left_of,wi-fi,NONE,1,7,1,3,3
press and hold orange image above the notifications,long-press,image,orange,above,notifications,NONE,4,4,5,1,3
launch the 1st tab next to the checkout,open,tab,NONE,next_to,checkout,1st,5,8,0,4,0
copy text below the notifications,copy,text,NONE,below,notifications,NONE,2,9,0,2,3
copy the 2nd pink text to the left of the address,copy,text,pink,left_of,address,2nd,2,9,6,3,1
tap gray checkbox to the left of the home,tap,checkbox,gray,left_of,home,NONE,8,2,3,3,3
open the 1st purple icon to the left of the wi-fi,open,icon,purple,left_of,wi-fi,1st,5,3,7,3,0
remove text below the first email,delete,text,NONE,below,first email,NONE,3,9,0,2,3
press the 2nd icon,click,icon,NONE,NONE,NONE,2nd,1,3,0,0,1
remove orange image above the help,delete,image,orange,above,help,NONE,3,4,5,1,3
trash pink button next to the address,delete,button,pink,next_to,address,NONE,3,1,6,4,3
long-press white icon below the address,long-press,icon,white,below,address,NONE,4,3,9,2,3
long-press the last icon,long-press,icon,NONE,NONE,NONE,last,4,3,0,0,4
open tab above the login,open,tab,NONE,above,login,NONE,5,8,0,1,3
scroll down to black text,scroll,text,black,NONE,NONE,NONE,7,9,1,0,3
click on blue link next to the search,click,link,blue,next_to,search,NONE,1,5,2,4,3
delete text next to the last item,delete,text,NONE,next_to,last item,NONE,3,9,0,4,3
paste text to the left of the payment,paste,text,NONE,left_of,payment,NONE,6,9,0,3,3
open link,open,link,NONE,NONE,NONE,NONE,5,5,0,0,3
copy the last text,copy,text,NONE,NONE,NONE,last,2,9,0,0,4
launch icon above the help,open,icon,NONE,above,help,NONE,5,3,0,1,3
tap the 1st button,tap,button,NONE,NONE,NONE,1st,8,1,0,0,0
open blue icon next to the last item,open,icon,blue,next_to,last item,NONE,5,3,2,4,3
long-press the 1st yellow icon,long-press,icon,yellow,NONE,NONE,1st,4,3,10,0,0
paste purple text to the left of the search,paste,text,purple,left_of,search,NONE,6,9,7,3,3
paste the 1st text,paste,text,NONE,NONE,NONE,1st,6,9,0,0,0
tap on link to the left of the help,tap,link,NONE,left_of,help,NONE,8,5,0,3,3
paste gray text above the login,paste,text,gray,above,login,NONE,6,9,3,1,3
launch button above the search,open,button,NONE,above,search,NONE,5,1,0,1,3
scroll down to tab above the checkout,scroll,tab,NONE,above,checkout,NONE,7,8,0,1,3
paste the last pink text to the left of the notifications,paste,text,pink,left_of,notifications,last,6,9,6,3,4
paste the last gray text to the left of the checkout,paste,text,gray,left_of,checkout,last,6,9,3,3,4
paste the 1st text to the left of the address,paste,text,NONE,left_of,address,1st,6,9,0,3,0
press and hold text below the help,long-press,text,NONE,below,help,NONE,4,9,0,2,3
tap on checkbox above the cart,tap,checkbox,NONE,above,cart,NONE,8,2,0,1,3
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE,8,2,0,0,3
copy text to the right of the checkout,copy,text,NONE,right_of,checkout,NONE,2,9,0,5,3
copy the last text to the left of the help,copy,text,NONE,left_of,help,last,2,9,0,3,4
paste the 1st text next to the last item,paste,text,NONE,next_to,last item,1st,6,9,0,4,0
launch the 3rd yellow menu below the home,open,menu,yellow,below,home,3rd,5,6,10,2,2
long-press pink icon next to the login,long-press,icon,pink,next_to,login,NONE,4,3,6,4,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
paste green text next to the first email,paste,text,green,next_to,first email,NONE,6,9,4,4,3
remove yellow button next to the search,delete,button,yellow,next_to,search,NONE,3,1,10,4,3
click on the 3rd button above the notifications,click,button,NONE,above,notifications,3rd,1,1,0,1,2
copy gray text above the wi-fi,copy,text,gray,above,wi-fi,NONE,2,9,3,1,3
long-press yellow icon to the left of the checkout,long-press,icon,yellow,left_of,checkout,NONE,4,3,10,3,3
press switch below the notifications,click,switch,NONE,below,notifications,NONE,1,7,0,2,3
delete button to the right of the help,delete,button,NONE,right_of,help,NONE,3,1,0,5,3
remove the 3rd image to the left of the menu,delete,image,NONE,left_of,menu,3rd,3,4,0,3,2
open black menu below the first email,open,menu,black,below,first email,NONE,5,6,1,2,3
click red checkbox,click,checkbox,red,NONE,NONE,NONE,1,2,8,0,3
launch tab below the login,open,tab,NONE,below,login,NONE,5,8,0,2,3
open tab to the left of the help,open,tab,NONE,left_of,help,NONE,5,8,0,3,3
tap button below the wi-fi,tap,button,NONE,below,wi-fi,NONE,8,1,0,2,3
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd,6,9,0,0,1
copy text to the right of the notifications,copy,text,NONE,right_of,notifications,NONE,2,9,0,5,3
delete yellow button to the right of the first email,delete,button,yellow,right_of,first email,NONE,3,1,10,5,3
click white icon to the left of the profile,click,icon,white,left_of,profile,NONE,1,3,9,3,3
click image next to the checkout,click,image,NONE,next_to,checkout,NONE,1,4,0,4,3
trash the 3rd pink image above the profile,delete,image,pink,above,profile,3rd,3,4,6,1,2
paste the last text,paste,text,NONE,NONE,NONE,last,6,9,0,0,4
tap yellow link below the payment,tap,link,yellow,below,payment,NONE,8,5,10,2,3
tap on tab above the wi-fi,tap,tab,NONE,above,wi-fi,NONE,8,8,0,1,3
long-press the 2nd button above the help,long-press,button,NONE,above,help,2nd,4,1,0,1,1
launch tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
copy text to the left of the search,copy,text,NONE,left_of,search,NONE,2,9,0,3,3
open button to the right of the search,open,button,NONE,right_of,search,NONE,5,1,0,5,3
paste text to the right of the first email,paste,text,NONE,right_of,first email,NONE,6,9,0,5,3
press and hold the last button,long-press,button,NONE,NONE,NONE,last,4,1,0,0,4
press icon next to the checkout,click,icon,NONE,next_to,checkout,NONE,1,3,0,4,3
scroll down to blue text below the help,scroll,text,blue,below,help,NONE,7,9,2,2,3
open the last icon below the notifications,open,icon,NONE,below,notifications,last,5,3,0,2,4
scroll to yellow menu to the left of the help,scroll,menu,yellow,left_of,help,NONE,7,6,10,3,3
copy text to the left of the home,copy,text,NONE,left_of,home,NONE,2,9,0,3,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
press the last yellow switch,click,switch,yellow,NONE,NONE,last,1,7,10,0,4
paste text next to the login,paste,text,NONE,next_to,login,NONE,6,9,0,4,3
long-press image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
tap switch to the right of the help,tap,switch,NONE,right_of,help,NONE,8,7,0,5,3
paste text below the profile,paste,text,NONE,below,profile,NONE,6,9,0,2,3
open tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
tap switch next to the notifications,tap,switch,NONE,next_to,notifications,NONE,8,7,0,4,3
tap link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
open orange button next to the address,open,button,orange,next_to,address,NONE,5,1,5,4,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
launch the 3rd gray button,open,button,gray,NONE,NONE,3rd,5,1,3,0,2
long-press button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
paste the last text next to the address,paste,text,NONE,next_to,address,last,6,9,0,4,4
scroll down to tab below the home,scroll,tab,NONE,below,home,NONE,7,8,0,2,3
open link to the left of the last item,open,link,NONE,left_of,last item,NONE,5,5,0,3,3
launch red button to the right of the wi-fi,open,button,red,right_of,wi-fi,NONE,5,1,8,5,3
trash image below the help,delete,image,NONE,below,help,NONE,3,4,0,2,3
delete the last button above the settings,delete,button,NONE,above,settings,last,3,1,0,1,4
paste text above the profile,paste,text,NONE,above,profile,NONE,6,9,0,1,3
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
tap on the 2nd switch to the right of the cart,tap,switch,NONE,right_of,cart,2nd,8,7,0,5,1
press and hold the 3rd white image to the left of the notifications,long-press,image,white,left_of,notifications,3rd,4,4,9,3,2
open the last link to the right of the address,open,link,NONE,right_of,address,last,5,5,0,5,4
paste the 3rd text next to the help,paste,text,NONE,next_to,help,3rd,6,9,0,4,2
press black image next to the payment,click,image,black,next_to,payment,NONE,1,4,1,4,3
tap icon below the wi-fi,tap,icon,NONE,below,wi-fi,NONE,8,3,0,2,3
long-press gray text,long-press,text,gray,NONE,NONE,NONE,4,9,3,0,3
delete the 2nd text below the cart,delete,text,NONE,below,cart,2nd,3,9,0,2,1
scroll to the 1st text,scroll,text,NONE,NONE,NONE,1st,7,9,0,0,0
press and hold gray button,long-press,button,gray,NONE,NONE,NONE,4,1,3,0,3
tap black tab to the left of the profile,tap,tab,black,left_of,profile,NONE,8,8,1,3,3
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd,2,9,0,0,2
copy the last black text,copy,text,black,NONE,NONE,last,2,9,1,0,4
paste red text to the left of the menu,paste,text,red,left_of,menu,NONE,6,9,8,3,3
click red text,click,text,red,NONE,NONE,NONE,1,9,8,0,3
copy text next to the payment,copy,text,NONE,next_to,payment,NONE,2,9,0,4,3
copy text below the last item,copy,text,NONE,below,last item,NONE,2,9,0,2,3
scroll to text to the right of the address,scroll,text,NONE,right_of,address,NONE,7,9,0,5,3
launch green button to the right of the settings,open,button,green,right_of,settings,NONE,5,1,4,5,3
tap on switch,tap,switch,NONE,NONE,NONE,NONE,8,7,0,0,3
scroll down to the last yellow tab next to the last item,scroll,tab,yellow,next_to,last item,last,7,8,10,4,4
long-press the 3rd orange image below the first email,long-press,image,orange,below,first email,3rd,4,4,5,2,2
remove button above the settings,delete,button,NONE,above,settings,NONE,3,1,0,1,3
scroll to menu above the search,scroll,menu,NONE,above,search,NONE,7,6,0,1,3
scroll down to gray tab to the right of the first email,scroll,tab,gray,right_of,first email,NONE,7,8,3,5,3
trash gray button above the search,delete,button,gray,above,search,NONE,3,1,3,1,3
trash the 1st green button,delete,button,green,NONE,NONE,1st,3,1,4,0,0
scroll to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
paste the 1st text,paste,text,NONE,NONE,NONE,1st,6,9,0,0,0
tap on yellow link below the address,tap,link,yellow,below,address,NONE,8,5,10,2,3
tap on checkbox below the profile,tap,checkbox,NONE,below,profile,NONE,8,2,0,2,3
trash text to the right of the notifications,delete,text,NONE,right_of,notifications,NONE,3,9,0,5,3
open pink icon,open,icon,pink,NONE,NONE,NONE,5,3,6,0,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
tap on checkbox,tap,checkbox,NONE,NONE,NONE,NONE,8,2,0,0,3
launch menu below the notifications,open,menu,NONE,below,notifications,NONE,5,6,0,2,3
paste the last pink text next to the address,paste,text,pink,next_to,address,last,6,9,6,4,4
scroll down to the last menu next to the last item,scroll,menu,NONE,next_to,last item,last,7,6,0,4,4
tap on gray checkbox,tap,checkbox,gray,NONE,NONE,NONE,8,2,3,0,3
remove text to the right of the cart,delete,text,NONE,right_of,cart,NONE,3,9,0,5,3
scroll to the 3rd text next to the help,scroll,text,NONE,next_to,help,3rd,7,9,0,4,2
paste pink text above the address,paste,text,pink,above,address,NONE,6,9,6,1,3
remove text below the cart,delete,text,NONE,below,cart,NONE,3,9,0,2,3
tap checkbox below the login,tap,checkbox,NONE,below,login,NONE,8,2,0,2,3
scroll to red menu to the right of the settings,scroll,menu,red,right_of,settings,NONE,7,6,8,5,3
press and hold image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
tap red link to the left of the checkout,tap,link,red,left_of,checkout,NONE,8,5,8,3,3
copy red text to the left of the settings,copy,text,red,left_of,settings,NONE,2,9,8,3,3
launch the 2nd orange icon,open,icon,orange,NONE,NONE,2nd,5,3,5,0,1
click gray image above the notifications,click,image,gray,above,notifications,NONE,1,4,3,1,3
tap on pink link,tap,link,pink,NONE,NONE,NONE,8,5,6,0,3
open the last tab to the left of the notifications,open,tab,NONE,left_of,notifications,last,5,8,0,3,4
press link next to the first email,click,link,NONE,next_to,first email,NONE,1,5,0,4,3
open blue button above the home,open,button,blue,above,home,NONE,5,1,2,1,3
copy text to the left of the menu,copy,text,NONE,left_of,menu,NONE,2,9,0,3,3
trash the last yellow text,delete,text,yellow,NONE,NONE,last,3,9,10,0,4
copy green text below the search,copy,text,green,below,search,NONE,2,9,4,2,3
remove black text next to the checkout,delete,text,black,next_to,checkout,NONE,3,9,1,4,3
press link to the right of the address,click,link,NONE,right_of,address,NONE,1,5,0,5,3
select switch to the right of the search,click,switch,NONE,right_of,search,NONE,1,7,0,5,3
tap the 3rd tab,tap,tab,NONE,NONE,NONE,3rd,8,8,0,0,2
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
launch the 2nd button to the left of the settings,open,button,NONE,left_of,settings,2nd,5,1,0,3,1
copy text next to the cart,copy,text,NONE,next_to,cart,NONE,2,9,0,4,3
launch the 3rd tab to the right of the home,open,tab,NONE,right_of,home,3rd,5,8,0,5,2
click green tab below the settings,click,tab,green,below,settings,NONE,1,8,4,2,3
copy text above the home,copy,text,NONE,above,home,NONE,2,9,0,1,3
click on checkbox next to the address,click,checkbox,NONE,next_to,address,NONE,1,2,0,4,3
trash image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
open the 3rd link next to the notifications,open,link,NONE,next_to,notifications,3rd,5,5,0,4,2
press and hold button above the first email,long-press,button,NONE,above,first email,NONE,4,1,0,1,3
open the 3rd link,open,link,NONE,NONE,NONE,3rd,5,5,0,0,2
copy the 2nd orange text above the first email,copy,text,orange,above,first email,2nd,2,9,5,1,1
select text to the right of the checkout,click,text,NONE,right_of,checkout,NONE,1,9,0,5,3
long-press image to the left of the notifications,long-press,image,NONE,left_of,notifications,NONE,4,4,0,3,3
tap link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
press and hold yellow image next to the checkout,long-press,image,yellow,next_to,checkout,NONE,4,4,10,4,3
launch the 2nd button to the left of the address,open,button,NONE,left_of,address,2nd,5,1,0,3,1
copy purple text,copy,text,purple,NONE,NONE,NONE,2,9,7,0,3
copy text to the left of the wi-fi,copy,text,NONE,left_of,wi-fi,NONE,2,9,0,3,3
paste pink text,paste,text,pink,NONE,NONE,NONE,6,9,6,0,3
press the 3rd link to the right of the menu,click,link,NONE,right_of,menu,3rd,1,5,0,5,2
remove the 1st button next to the checkout,delete,button,NONE,next_to,checkout,1st,3,1,0,4,0
long-press button next to the help,long-press,button,NONE,next_to,help,NONE,4,1,0,4,3
copy orange text above the payment,copy,text,orange,above,payment,NONE,2,9,5,1,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
press and hold image next to the help,long-press,image,NONE,next_to,help,NONE,4,4,0,4,3
open black link above the notifications,open,link,black,above,notifications,NONE,5,5,1,1,3
press and hold the 2nd icon to the left of the profile,long-press,icon,NONE,left_of,profile,2nd,4,3,0,3,1
trash text below the home,delete,text,NONE,below,home,NONE,3,9,0,2,3
trash image below the profile,delete,image,NONE,below,profile,NONE,3,4,0,2,3
copy text below the cart,copy,text,NONE,below,cart,NONE,2,9,0,2,3
press the 1st black link,click,link,black,NONE,NONE,1st,1,5,1,0,0
trash text to the left of the checkout,delete,text,NONE,left_of,checkout,NONE,3,9,0,3,3
paste the 2nd text to the right of the profile,paste,text,NONE,right_of,profile,2nd,6,9,0,5,1
click gray image above the help,click,image,gray,above,help,NONE,1,4,3,1,3
paste red text next to the home,paste,text,red,next_to,home,NONE,6,9,8,4,3
copy text to the left of the payment,copy,text,NONE,left_of,payment,NONE,2,9,0,3,3
open tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
open menu next to the cart,open,menu,NONE,next_to,cart,NONE,5,6,0,4,3
open icon,open,icon,NONE,NONE,NONE,NONE,5,3,0,0,3
delete the 2nd gray text below the cart,delete,text,gray,below,cart,2nd,3,9,3,2,1
paste text above the notifications,paste,text,NONE,above,notifications,NONE,6,9,0,1,3
select the last blue image,click,image,blue,NONE,NONE,last,1,4,2,0,4
copy text above the checkout,copy,text,NONE,above,checkout,NONE,2,9,0,1,3
launch the 2nd button,open,button,NONE,NONE,NONE,2nd,5,1,0,0,1
trash purple image below the settings,delete,image,purple,below,settings,NONE,3,4,7,2,3
scroll to black text,scroll,text,black,NONE,NONE,NONE,7,9,1,0,3
press and hold button to the left of the search,long-press,button,NONE,left_of,search,NONE,4,1,0,3,3
scroll down to the 2nd green tab,scroll,tab,green,NONE,NONE,2nd,7,8,4,0,1
click on button to the left of the menu,click,button,NONE,left_of,menu,NONE,1,1,0,3,3
paste text next to the search,paste,text,NONE,next_to,search,NONE,6,9,0,4,3
tap white button,tap,button,white,NONE,NONE,NONE,8,1,9,0,3
scroll down to the last menu,scroll,menu,NONE,NONE,NONE,last,7,6,0,0,4
tap button to the right of the checkout,tap,button,NONE,right_of,checkout,NONE,8,1,0,5,3
launch red link below the notifications,open,link,red,below,notifications,NONE,5,5,8,2,3
scroll to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
press and hold red icon to the left of the last item,long-press,icon,red,left_of,last item,NONE,4,3,8,3,3
long-press the 3rd gray icon above the first email,long-press,icon,gray,above,first email,3rd,4,3,3,1,2
click on the 3rd blue button above the help,click,button,blue,above,help,3rd,1,1,2,1,2
press icon to the left of the help,click,icon,NONE,left_of,help,NONE,1,3,0,3,3
paste text to the left of the settings,paste,text,NONE,left_of,settings,NONE,6,9,0,3,3
copy orange text below the settings,copy,text,orange,below,settings,NONE,2,9,5,2,3
delete button to the right of the login,delete,button,NONE,right_of,login,NONE,3,1,0,5,3
paste gray text below the help,paste,text,gray,below,help,NONE,6,9,3,2,3
delete gray text above the address,delete,text,gray,above,address,NONE,3,9,3,1,3
click the 1st image to the left of the wi-fi,click,image,NONE,left_of,wi-fi,1st,1,4,0,3,0
select checkbox,click,checkbox,NONE,NONE,NONE,NONE,1,2,0,0,3
tap switch,tap,switch,NONE,NONE,NONE,NONE,8,7,0,0,3
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE,2,9,0,3,3
press blue image,click,image,blue,NONE,NONE,NONE,1,4,2,0,3
copy text below the address,copy,text,NONE,below,address,NONE,2,9,0,2,3
launch purple icon,open,icon,purple,NONE,NONE,NONE,5,3,7,0,3
paste text to the left of the notifications,paste,text,NONE,left_of,notifications,NONE,6,9,0,3,3
paste red text below the login,paste,text,red,below,login,NONE,6,9,8,2,3
paste text to the right of the address,paste,text,NONE,right_of,address,NONE,6,9,0,5,3
